"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Banish from Edoras","W","C","87801","5.14","11890","7.46","41539","53.2%","6587","50.1%","11115","56.5%","17702","54.1%","23864","52.6%","1.5pp"
"The Battle of Bywater","W","R","5249","2.48","1743","2.65","7364","55.2%","1302","55.0%","1921","57.7%","3223","56.6%","4144","54.2%","2.4pp"
"Bill the Pony","W","U","22257","3.51","6203","4.17","28286","55.2%","4649","56.6%","7549","59.1%","12198","58.1%","15909","52.8%","5.3pp"
"Boromir, Warden of the Tower","W","R","3975","1.88","1843","1.97","9358","57.4%","1673","61.3%","2351","60.7%","4024","60.9%","5244","54.5%","6.5pp"
"Dawn of a New Age","W","M","1980","1.85","943","1.84","4440","54.3%","704","55.4%","1149","56.6%","1853","56.1%","2576","53.1%","3.0pp"
"Dúnedain Blade","W","C","107522","7.41","13108","10.62","22638","55.3%","3590","53.3%","5445","52.9%","9035","53.1%","13604","56.7%","-3.6pp"
"Eagles of the North","W","C","92448","5.35","15445","7.48","63696","54.9%","11113","53.5%","15964","56.4%","27077","55.2%","36505","54.6%","0.6pp"
"Eastfarthing Farmer","W","C","95261","5.82","13019","8.36","42227","54.4%","7132","55.0%","10481","57.2%","17613","56.3%","24511","53.0%","3.3pp"
"East-Mark Cavalier","W","C","98475","6.08","14035","8.61","49183","55.2%","8715","55.2%","11677","55.2%","20392","55.2%","28759","55.1%","0.1pp"
"Éowyn, Lady of Rohan","W","U","19058","3.03","4992","3.67","24961","55.1%","4383","56.2%","6234","57.1%","10617","56.7%","14248","53.6%","3.1pp"
"Errand-Rider of Gondor","W","C","74286","4.16","17544","5.36","88686","56.4%","15697","57.5%","22577","58.7%","38274","58.2%","50234","55.0%","3.2pp"
"Escape from Orthanc","W","C","110475","7.80","15042","10.89","22345","54.7%","3370","53.5%","5374","55.6%","8744","54.8%","13593","54.7%","0.1pp"
"Esquire of the King","W","C","104201","6.87","14110","9.73","37310","55.0%","6433","56.1%","8942","53.8%","15375","54.8%","21895","55.2%","-0.4pp"
"Faramir, Field Commander","W","U","16139","2.61","4983","3.05","25230","53.5%","4304","52.0%","6674","55.3%","10978","54.0%","14132","52.8%","1.2pp"
"Flowering of the White Tree","W","R","3575","1.72","1997","1.71","10104","56.0%","1720","59.6%","2597","59.1%","4317","59.3%","5785","53.5%","5.8pp"
"Fog on the Barrow-Downs","W","C","85081","5.02","10772","7.27","39091","53.0%","6480","49.7%","9722","54.8%","16202","52.8%","22817","53.2%","-0.5pp"
"Forge Anew","W","R","12049","5.51","1455","8.52","152","","23","","45","","68","","84","",""
"Frodo, Sauron's Bane","W","R","4365","2.18","1730","2.30","8200","56.3%","1479","64.6%","2129","57.1%","3608","60.2%","4557","53.3%","6.9pp"
"Gandalf the White","W","M","1502","1.49","866","1.45","3976","53.0%","630","50.0%","1043","54.9%","1673","53.1%","2261","52.7%","0.4pp"
"Hobbit's Sting","W","C","84192","4.95","14178","6.74","59514","54.6%","9560","53.1%","14903","56.6%","24463","55.2%","35005","54.1%","1.2pp"
"Landroval, Horizon Witness","W","U","22483","3.56","4727","4.47","21224","54.1%","3271","52.3%","5410","56.6%","8681","55.0%","12400","53.2%","1.8pp"
"Lost to Legend","W","U","32625","5.38","6183","6.95","21107","54.5%","3404","52.5%","5502","56.3%","8906","54.9%","12205","54.3%","0.6pp"
"Nimble Hobbit","W","C","108366","7.52","12832","10.81","17684","52.3%","3116","51.2%","4343","53.3%","7459","52.4%","10214","52.1%","0.3pp"
"Now for Wrath, Now for Ruin!","W","C","107866","7.36","11685","10.89","14547","53.5%","2083","49.1%","3582","54.0%","5665","52.2%","8880","54.3%","-2.1pp"
"Protector of Gondor","W","C","92227","5.46","16865","7.32","73192","56.7%","11915","57.7%","18361","58.5%","30276","58.2%","42815","55.6%","2.7pp"
"Reprieve","W","U","26134","4.09","6510","5.07","28060","55.7%","4992","57.5%","7237","57.4%","12229","57.4%","15819","54.4%","3.0pp"
"Rosie Cotton of South Lane","W","U","17680","2.80","5435","3.26","27742","56.0%","4766","56.7%","6915","59.3%","11681","58.3%","15872","54.2%","4.1pp"
"Samwise the Stouthearted","W","U","17005","2.66","6010","3.08","30777","55.1%","5393","57.2%","7865","57.9%","13258","57.6%","17292","53.0%","4.6pp"
"Second Breakfast","W","C","109502","7.63","12206","11.17","12017","52.6%","1835","50.8%","2845","53.6%","4680","52.5%","7332","52.7%","-0.2pp"
"Shire Shirriff","W","U","20806","3.24","5848","3.92","28493","55.7%","4980","54.7%","7106","57.7%","12086","56.5%","16388","55.0%","1.4pp"
"Slip On the Ring","W","C","106217","7.09","12280","10.40","17858","51.8%","2836","50.3%","4545","53.2%","7381","52.1%","10466","51.7%","0.4pp"
