"Name","Color","Rarity","# Picked","ATA","# OH","OH WR","# GIH","GIH WR","IWD"
"Orcish Bowmasters","B","R","144","1.46","110","","272","72.4%","18.9pp"
"Éowyn, Fearless Knight","WR","R","165","2.04","94","","215","69.8%","16.2pp"
"Horn of Gondor","","R","149","1.32","143","","310","68.1%","10.1pp"
"Voracious Fell Beast","B","U","416","3.64","276","60.1%","788","65.9%","6.4pp"
"The Balrog, Durin's Bane","BR","R","133","2.18","75","","212","65.6%","10.7pp"
"Call of the Ring","B","R","138","1.59","102","","236","65.3%","9.3pp"
"Grishnákh, Brash Instigator","R","U","468","3.44","342","63.2%","822","64.7%","6.2pp"
"Faramir, Prince of Ithilien","WU","R","139","2.14","90","","229","64.6%","15.6pp"
"Foray of Orcs","R","U","620","3.51","459","65.1%","1168","64.4%","4.5pp"
"Théoden, King of Rohan","WR","U","396","5.13","230","64.8%","540","63.7%","5.6pp"
"Fear, Fire, Foes!","R","U","597","3.42","435","59.5%","1163","63.3%","7.7pp"
"There and Back Again","R","R","148","1.63","105","","275","63.3%","10.0pp"
"Claim the Precious","B","C","1325","3.26","971","61.4%","2528","63.1%","5.5pp"
"Rally at the Hornburg","R","C","1611","7.10","1135","63.5%","2639","62.8%","4.5pp"
"Dunland Crebain","B","C","1548","4.79","1278","61.4%","3012","62.8%","4.2pp"
"Éomer of the Riddermark","R","U","408","3.86","281","62.6%","676","62.7%","6.0pp"
"Rise of the Witch-king","BG","U","348","6.34","109","","313","62.6%","7.9pp"
"Shadowfax, Lord of Horses","WR","U","366","6.39","169","","389","62.5%","6.4pp"
"Easterling Vanguard","B","C","1080","6.44","819","62.5%","1958","62.4%","4.9pp"
"Shelob, Child of Ungoliant","BG","R","138","1.60","90","","231","62.3%","7.5pp"
"Old Man Willow","BG","U","429","4.37","224","57.1%","599","62.3%","10.2pp"
"Gandalf's Sanction","UR","U","595","5.35","346","57.5%","1073","62.2%","7.1pp"
"Frodo Baggins","WG","U","393","4.54","187","","456","62.1%","15.7pp"
"Nazgûl","B","U","468","2.98","359","63.2%","855","61.9%","7.2pp"
"The Torment of Gollum","B","C","1260","8.40","523","58.7%","1417","61.8%","3.0pp"
"Troll of Khazad-dûm","B","C","1120","7.17","734","61.4%","1804","61.6%","3.2pp"
"The Mouth of Sauron","UB","U","515","4.63","261","56.3%","732","61.3%","11.5pp"
"Shelob's Ambush","B","C","1086","8.98","414","58.0%","1060","61.3%","4.4pp"
"Gollum's Bite","B","U","527","3.30","367","60.5%","920","61.3%","4.2pp"
"Shadow Summoning","WB","U","579","5.60","314","63.4%","806","61.3%","2.4pp"
"Ranger's Firebrand","R","U","480","3.52","336","61.3%","884","61.0%","3.9pp"
"Gollum, Patient Plotter","B","U","483","3.15","377","60.5%","949","60.8%","2.4pp"
"Sam's Desperate Rescue","B","C","1034","9.04","378","56.9%","1018","60.7%","2.0pp"
"Saruman's Trickery","U","U","486","4.85","273","60.4%","752","60.6%","8.8pp"
"Bitter Downfall","B","U","547","2.83","415","58.6%","1030","60.6%","5.4pp"
"Denethor, Ruling Steward","WB","U","475","4.36","270","60.4%","723","60.6%","7.9pp"
"Book of Mazarbul","R","U","414","4.15","290","62.8%","677","60.6%","1.9pp"
"Strider, Ranger of the North","RG","U","302","6.58","108","","271","60.5%","6.7pp"
"Gandalf the Grey","UR","R","137","2.34","79","","243","60.1%","8.6pp"
"Éowyn, Lady of Rohan","W","U","362","3.61","246","61.8%","600","60.0%","7.1pp"
"Errand-Rider of Gondor","W","C","1327","5.58","925","58.9%","2270","60.0%","5.1pp"
"Lash of the Balrog","B","C","1127","5.90","660","56.5%","1775","59.9%","3.6pp"
"Warbeast of Gorgoroth","R","C","869","9.46","231","60.6%","591","59.9%","3.6pp"
"Uruk-hai Berserker","B","C","1077","7.19","672","60.0%","1660","59.6%","2.1pp"
"Bilbo, Retired Burglar","UR","U","460","5.10","268","61.2%","675","59.4%","6.1pp"
"Quarrel's End","R","C","1166","9.41","441","59.0%","1132","59.4%","0.1pp"
"Mordor Muster","B","C","1312","6.18","952","58.6%","2300","59.3%","-0.4pp"
"Gothmog, Morgul Lieutenant","B","U","411","3.01","295","60.0%","768","59.2%","-1.4pp"
"Glorious Gale","U","C","1336","6.84","781","54.7%","2121","59.2%","5.7pp"
"Smite the Deathless","R","C","1608","3.99","1244","57.6%","3054","59.1%","3.5pp"
"Oath of the Grey Host","B","U","478","4.41","336","58.9%","802","59.1%","0.9pp"
"Pelargir Survivor","U","C","1171","9.56","542","62.0%","1432","59.1%","6.6pp"
"Rangers of Ithilien","U","R","149","1.79","90","","227","59.0%","8.3pp"
"Haunt of the Dead Marshes","B","C","1069","8.35","542","59.4%","1278","59.0%","2.9pp"
"Haradrim Spearmaster","R","C","1072","8.72","565","62.1%","1290","58.9%","-0.8pp"
"Flowering of the White Tree","W","R","141","1.44","102","","236","58.9%","-0.2pp"
"Improvised Club","R","C","1286","7.83","664","57.8%","1736","58.9%","-0.8pp"
"Reprieve","W","U","485","4.32","332","57.5%","807","58.9%","4.3pp"
"Goblin Fireleaper","R","U","449","5.85","307","59.6%","700","58.9%","-0.2pp"
"Relentless Rohirrim","R","C","1043","9.03","359","57.9%","943","58.9%","-1.0pp"
"Morgul-Knife Wound","B","C","734","9.37","219","53.4%","555","58.7%","2.9pp"
"Gandalf, Friend of the Shire","U","U","416","3.00","226","55.8%","681","58.6%","8.0pp"
"Bill the Pony","W","U","433","4.15","252","56.7%","635","58.4%","6.3pp"
"Boromir, Warden of the Tower","W","R","121","1.74","83","","216","58.3%","1.1pp"
"Stalwarts of Osgiliath","W","C","802","9.77","162","","446","58.3%","10.1pp"
"March from the Black Gate","B","U","447","3.35","352","65.6%","807","58.1%","1.0pp"
"Cirith Ungol Patrol","B","C","1039","9.14","434","58.8%","1173","58.1%","0.1pp"
"Lost to Legend","W","U","439","6.62","203","49.8%","521","58.0%","3.5pp"
"Glóin, Dwarf Emissary","R","R","138","2.54","94","","226","58.0%","3.2pp"
"Arwen Undómiel","UG","U","346","4.86","170","","471","58.0%","8.8pp"
"Sauron, the Necromancer","B","R","151","1.41","90","","240","57.9%","2.1pp"
"The Bath Song","U","U","496","5.58","251","59.4%","710","57.9%","7.7pp"
"Mauhúr, Uruk-hai Captain","BR","U","404","4.17","235","58.7%","553","57.9%","3.3pp"
"Erebor Flamesmith","R","C","1199","8.39","616","58.1%","1520","57.8%","0.8pp"
"One Ring to Rule Them All","B","R","142","1.82","84","","211","57.8%","6.2pp"
"Protector of Gondor","W","C","1151","7.44","659","56.9%","1620","57.7%","0.3pp"
"Fiery Inscription","R","U","417","5.84","216","54.6%","610","57.7%","7.6pp"
"Birthday Escape","U","C","1291","6.86","814","54.3%","2201","57.7%","4.9pp"
"Lobelia Sackville-Baggins","B","R","130","2.08","88","","204","57.4%","0.3pp"
"Generous Ent","G","C","995","7.43","519","57.8%","1345","57.3%","5.2pp"
"Westfold Rider","W","C","1114","7.64","653","57.1%","1522","57.3%","1.8pp"
"Rohirrim Lancer","R","C","1131","8.44","585","58.3%","1428","57.3%","-2.7pp"
"Isolation at Orthanc","U","C","1561","8.25","804","53.1%","2167","57.3%","3.4pp"
"Rosie Cotton of South Lane","W","U","403","3.10","270","57.0%","641","57.3%","2.2pp"
"Scroll of Isildur","U","R","147","2.90","85","","208","57.2%","7.0pp"
"Moria Marauder","R","R","154","2.29","105","","250","57.2%","-4.5pp"
"Horses of the Bruinen","U","U","458","6.33","223","48.0%","688","57.1%","5.8pp"
"Oliphaunt","R","C","1104","8.37","562","53.2%","1375","57.0%","-0.6pp"
"Mirrormere Guardian","G","C","808","9.76","312","57.1%","711","57.0%","4.2pp"
"Great Hall of the Citadel","","C","913","9.89","264","58.3%","631","56.9%","6.1pp"
"Snarling Warg","B","C","900","9.64","272","57.4%","649","56.9%","0.5pp"
"Olog-hai Crusher","R","C","961","10.19","215","60.0%","530","56.8%","-2.3pp"
"Erkenbrand, Lord of Westfold","R","U","425","4.81","230","55.2%","541","56.7%","-3.6pp"
"Grond, the Gatebreaker","B","U","450","5.33","206","51.9%","564","56.7%","-1.1pp"
"Soothing of Sméagol","U","C","1231","7.56","679","53.3%","1798","56.7%","4.4pp"
"Saruman the White","U","U","455","3.85","256","57.4%","746","56.6%","3.6pp"
"Hobbit's Sting","W","C","1089","6.56","607","54.7%","1515","56.6%","2.3pp"
"Eastfarthing Farmer","W","C","977","7.73","474","54.6%","1083","56.5%","4.9pp"
"Lórien Revealed","U","C","1311","7.82","693","55.0%","1871","56.4%","3.3pp"
"Gorbag of Minas Morgul","B","U","356","4.86","240","55.4%","589","56.4%","0.7pp"
"Battle-Scarred Goblin","R","C","1051","8.49","611","56.8%","1377","56.4%","-3.8pp"
"Deceive the Messenger","U","C","1273","9.54","406","59.1%","1097","56.3%","2.6pp"
"Lembas","","C","905","8.92","251","50.2%","727","56.3%","1.3pp"
"Dúnedain Blade","W","C","926","10.15","241","57.7%","620","56.1%","-0.1pp"
"Landroval, Horizon Witness","W","U","398","4.25","198","","604","56.1%","1.3pp"
"Took Reaper","W","C","1062","8.13","588","57.1%","1320","56.1%","0.5pp"
"Mirkwood Bats","B","C","1116","6.38","650","55.1%","1650","56.1%","-2.4pp"
"Nasty End","B","C","1129","8.33","481","55.3%","1241","56.0%","-0.7pp"
"Ent's Fury","G","C","1037","7.22","467","51.6%","1335","55.9%","3.5pp"
"Gimli's Fury","R","C","950","11.42","140","","335","55.8%","-4.5pp"
"Orcish Medicine","B","C","892","8.90","288","58.3%","713","55.8%","-0.5pp"
"Eagles of the North","W","C","1135","7.37","576","51.4%","1495","55.8%","0.6pp"
"Dúnedain Rangers","G","U","337","5.33","191","","459","55.8%","4.3pp"
"Banish from Edoras","W","C","853","7.56","339","55.5%","908","55.7%","3.8pp"
"Shire Shirriff","W","U","468","3.69","302","54.3%","791","55.6%","0.7pp"
"Gríma Wormtongue","B","U","394","4.48","248","52.8%","615","55.6%","0.2pp"
"East-Mark Cavalier","W","C","954","8.57","415","54.2%","1001","55.5%","-0.1pp"
"Samwise the Stouthearted","W","U","450","2.92","276","52.5%","743","55.5%","0.5pp"
"Dreadful as the Storm","U","C","949","11.57","76","","202","55.4%","10.1pp"
"Gimli, Counter of Kills","R","U","368","5.68","178","","469","55.4%","-1.6pp"
"Cast into the Fire","R","C","854","11.13","76","","231","55.4%","3.4pp"
"Ioreth of the Healing House","U","U","374","6.89","147","","390","55.4%","4.4pp"
"Shire Terrace","","C","1077","8.10","584","56.2%","1365","55.4%","0.2pp"
"Esquire of the King","W","C","986","9.26","439","56.0%","982","55.0%","-2.3pp"
"Uglúk of the White Hand","BR","U","315","5.79","167","","395","54.9%","-4.2pp"
"Bewitching Leechcraft","U","C","908","9.53","288","50.3%","679","54.9%","1.3pp"
"Mordor Trebuchet","B","C","1036","7.62","541","54.7%","1277","54.8%","-2.9pp"
"Wose Pathfinder","G","C","884","6.43","582","57.2%","1278","54.8%","0.6pp"
"Willow-Wind","U","C","984","9.53","313","55.9%","888","54.7%","1.3pp"
"Swarming of Moria","R","C","1265","7.78","739","54.4%","1780","54.7%","-1.3pp"
"Flame of Anor","UR","R","165","2.98","81","","256","54.7%","2.7pp"
"Galadhrim Bow","G","C","753","10.82","127","","342","54.7%","3.2pp"
