"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Banish from Edoras","W","C","100611","5.13","13650","7.45","48302","53.3%","7689","50.5%","12973","56.6%","20662","54.3%","27694","52.7%","1.6pp"
"The Battle of Bywater","W","R","6004","2.50","1959","2.67","8286","55.0%","1467","55.4%","2161","57.7%","3628","56.7%","4663","53.7%","3.0pp"
"Bill the Pony","W","U","25621","3.49","7091","4.18","32455","55.2%","5333","56.8%","8682","58.8%","14015","58.1%","18242","52.9%","5.2pp"
"Boromir, Warden of the Tower","W","R","4597","1.90","2120","1.98","10788","57.3%","1942","61.5%","2684","60.5%","4626","60.9%","6061","54.3%","6.6pp"
"Dawn of a New Age","W","M","2281","1.86","1081","1.86","5123","54.1%","828","55.0%","1315","55.7%","2143","55.4%","2968","53.2%","2.3pp"
"Dúnedain Blade","W","C","123473","7.42","14977","10.64","25714","55.2%","4101","53.4%","6208","52.9%","10309","53.1%","15407","56.5%","-3.4pp"
"Eagles of the North","W","C","105805","5.34","17608","7.50","73144","54.9%","12779","53.4%","18391","56.2%","31170","55.1%","41844","54.6%","0.4pp"
"Eastfarthing Farmer","W","C","109352","5.84","14803","8.40","48015","54.4%","8116","55.0%","11984","57.4%","20100","56.4%","27803","53.0%","3.5pp"
"East-Mark Cavalier","W","C","112805","6.07","16052","8.61","56488","55.1%","10076","55.1%","13491","55.0%","23567","55.1%","32889","55.0%","0.1pp"
"Éowyn, Lady of Rohan","W","U","21874","3.04","5699","3.68","28553","54.9%","4979","56.2%","7082","56.8%","12061","56.5%","16398","53.5%","3.0pp"
"Errand-Rider of Gondor","W","C","84937","4.14","20041","5.33","101675","56.2%","17971","57.1%","25890","58.5%","43861","57.9%","57609","54.9%","3.0pp"
"Escape from Orthanc","W","C","126819","7.81","17176","10.94","25225","54.8%","3813","53.3%","6089","55.8%","9902","54.9%","15313","54.8%","0.1pp"
"Esquire of the King","W","C","119906","6.88","16163","9.76","42554","54.9%","7344","56.2%","10274","53.4%","17618","54.6%","24897","55.0%","-0.5pp"
"Faramir, Field Commander","W","U","18494","2.62","5656","3.05","28746","53.6%","4875","51.9%","7587","55.3%","12462","54.0%","16150","53.0%","0.9pp"
"Flowering of the White Tree","W","R","4078","1.75","2239","1.72","11456","56.0%","1946","59.6%","2943","58.9%","4889","59.2%","6561","53.6%","5.6pp"
"Fog on the Barrow-Downs","W","C","98068","5.06","12196","7.36","43752","53.0%","7210","49.6%","10891","54.6%","18101","52.6%","25573","53.2%","-0.6pp"
"Forge Anew","W","R","13893","5.53","1687","8.52","171","","27","","48","","75","","96","",""
"Frodo, Sauron's Bane","W","R","5031","2.18","1998","2.28","9422","56.2%","1706","64.2%","2441","57.0%","4147","60.0%","5232","53.3%","6.7pp"
"Gandalf the White","W","M","1737","1.51","997","1.48","4580","52.8%","733","51.4%","1208","55.0%","1941","53.7%","2589","51.9%","1.8pp"
"Hobbit's Sting","W","C","96800","4.97","15977","6.78","67339","54.6%","10797","53.2%","16916","56.6%","27713","55.3%","39575","54.1%","1.2pp"
"Landroval, Horizon Witness","W","U","25792","3.58","5391","4.51","24218","54.2%","3734","52.7%","6187","56.9%","9921","55.3%","14130","53.1%","2.2pp"
"Lost to Legend","W","U","37476","5.38","7052","6.99","24206","54.6%","3934","52.5%","6329","56.7%","10263","55.1%","13957","54.3%","0.8pp"
"Nimble Hobbit","W","C","124342","7.53","14681","10.84","20210","52.2%","3564","50.8%","4999","53.2%","8563","52.2%","11634","52.1%","0.1pp"
"Now for Wrath, Now for Ruin!","W","C","123918","7.38","13284","10.93","16430","53.4%","2344","49.7%","4053","53.7%","6397","52.2%","10030","54.2%","-2.0pp"
"Protector of Gondor","W","C","105450","5.44","19247","7.31","83887","56.6%","13576","57.4%","21131","58.7%","34707","58.2%","49065","55.4%","2.8pp"
"Reprieve","W","U","30198","4.11","7375","5.13","31747","55.7%","5646","57.7%","8173","57.3%","13819","57.5%","17918","54.3%","3.2pp"
"Rosie Cotton of South Lane","W","U","20221","2.79","6183","3.24","31725","56.0%","5479","56.4%","7934","59.2%","13413","58.1%","18082","54.3%","3.7pp"
"Samwise the Stouthearted","W","U","19453","2.65","6878","3.07","35390","55.0%","6239","57.1%","9031","57.8%","15270","57.5%","19833","52.9%","4.6pp"
"Second Breakfast","W","C","125837","7.66","13941","11.23","13487","52.4%","2060","50.4%","3184","53.6%","5244","52.3%","8237","52.4%","-0.1pp"
"Shire Shirriff","W","U","23991","3.26","6579","3.95","32118","55.5%","5622","54.7%","8011","57.8%","13633","56.5%","18465","54.8%","1.7pp"
"Slip On the Ring","W","C","122103","7.11","14069","10.42","20602","52.0%","3288","50.0%","5236","53.4%","8524","52.1%","12063","51.9%","0.2pp"
"Soldier of the Grey Host","W","C","122585","7.06","13170","10.52","17306","52.1%","2767","52.1%","4274","53.9%","7041","53.2%","10241","51.3%","1.9pp"
"Stalwarts of Osgiliath","W","C","117819","6.55","14382","9.56","32410","54.1%","4993","53.1%","8661","57.1%","13654","55.7%","18759","53.0%","2.7pp"
"Tale of Tinúviel","W","U","34228","4.95","4621","6.91","11997","51.8%","1802","48.4%","3134","53.4%","4936","51.6%","7044","51.9%","-0.3pp"
"Took Reaper","W","C","114037","6.08","16380","8.59","59024","54.2%","10620","53.5%","14636","54.7%","25256","54.2%","33711","54.2%","-0.0pp"
"War of the Last Alliance","W","R","6694","2.86","1827","3.19","7120","56.1%","1154","59.6%","1793","59.5%","2947","59.5%","4164","53.6%","5.9pp"
"Westfold Rider","W","C","107417","5.48","17288","7.59","74314","55.5%","13359","55.6%","17986","55.3%","31345","55.4%","42887","55.5%","-0.1pp"
"You Cannot Pass!","W","U","41085","6.21","4886","9.29","7411","51.6%","1163","50.8%","1895","52.5%","3058","51.9%","4344","51.4%","0.5pp"
"Arwen's Gift","U","C","111964","6.08","17263","8.54","52917","52.9%","8657","50.9%","16535","57.0%","25192","54.9%","27881","51.2%","3.7pp"
"The Bath Song","U","U","30371","4.28","8019","5.11","34503","55.1%","5760","55.2%","10731","61.3%","16491","59.2%","17865","51.5%","7.6pp"
"Bewitching Leechcraft","U","C","117893","6.81","13375","10.08","23661","50.8%","4039","48.1%","6917","54.3%","10956","52.0%","12507","49.7%","2.4pp"
"Bill Ferny, Bree Swindler","U","U","40714","5.92","5628","8.58","12776","49.9%","2260","49.0%","3640","51.1%","5900","50.3%","6845","49.5%","0.8pp"
"Birthday Escape","U","C","97067","4.98","21782","6.35","101276","55.9%","18058","57.1%","32621","60.4%","50679","59.2%","50903","52.6%","6.6pp"
"Borne Upon a Wind","U","R","13157","5.22","1823","7.75","1646","46.5%","285","43.9%","457","48.4%","742","46.6%","905","46.2%","0.4pp"
"Captain of Umbar","U","C","125090","7.61","14673","11.06","17507","49.2%","2892","47.4%","5076","51.3%","7968","49.9%","9491","48.6%","1.3pp"
"Council's Deliberation","U","U","34820","4.89","6248","6.47","19404","51.2%","3440","49.8%","5648","53.9%","9088","52.4%","10151","49.9%","2.4pp"
"Deceive the Messenger","U","C","121008","6.96","20683","9.39","57160","55.8%","9671","56.1%","17385","59.8%","27056","58.5%","29889","53.2%","5.2pp"
"Dreadful as the Storm","U","C","128198","8.19","16224","11.57","13618","53.2%","2096","52.4%","4176","58.4%","6272","56.4%","7322","50.4%","6.0pp"
"Elrond, Lord of Rivendell","U","U","22903","3.31","5340","3.97","24388","52.8%","4274","53.6%","7197","56.1%","11471","55.2%","12785","50.4%","4.8pp"
"Gandalf, Friend of the Shire","U","U","19604","2.78","7035","3.12","34443","54.2%","5768","53.9%","10812","58.1%","16580","56.7%","17734","51.7%","4.9pp"
"Glorious Gale","U","C","101431","5.23","21009","6.79","94280","55.6%","16408","57.5%","29081","59.6%","45489","58.9%","48669","52.5%","6.4pp"
"Goldberry, River-Daughter","U","R","10273","3.89","2025","4.99","5805","52.0%","964","54.5%","1760","54.3%","2724","54.3%","3085","49.8%","4.5pp"
"Grey Havens Navigator","U","C","115778","6.58","14135","9.66","32345","50.9%","5510","50.5%","9240","53.4%","14750","52.4%","17383","49.5%","2.8pp"
"Hithlain Knots","U","C","113154","6.21","17014","8.71","54691","53.3%","9428","51.4%","16773","58.5%","26201","55.9%","28343","50.8%","5.1pp"
"Horses of the Bruinen","U","U","34898","4.82","7685","6.06","31290","55.6%","4908","55.0%","10017","62.7%","14925","60.2%","16464","51.5%","8.7pp"
"Ioreth of the Healing House","U","U","38402","5.41","5949","7.56","16519","51.5%","2777","51.4%","4882","54.3%","7659","53.2%","8829","49.9%","3.3pp"
"Isolation at Orthanc","U","C","118328","6.64","22263","8.77","75903","55.3%","12351","53.5%","23966","59.8%","36317","57.7%","39542","53.1%","4.6pp"
"Ithilien Kingfisher","U","C","99856","5.06","16867","6.94","66483","52.0%","11627","50.7%","19666","55.8%","31293","53.9%","34748","50.3%","3.6pp"
"Knights of Dol Amroth","U","C","121741","7.29","13094","10.82","17038","48.0%","2671","45.0%","5260","51.4%","7931","49.3%","9042","46.9%","2.4pp"
"Lórien Revealed","U","C","107283","5.61","21300","7.38","90633","55.1%","15933","54.3%","29082","59.4%","45015","57.6%","46700","52.8%","4.8pp"
"Lost Isle Calling","U","R","11936","4.90","1545","7.37","1054","40.2%","190","","245","40.8%","435","35.9%","615","43.6%","-7.7pp"
