"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Banish from Edoras","W","C","106849","5.13","14517","7.47","51474","53.3%","8191","50.6%","13848","56.5%","22039","54.3%","29490","52.7%","1.6pp"
"The Battle of Bywater","W","R","6390","2.51","2059","2.70","8684","55.0%","1540","55.1%","2255","57.5%","3795","56.5%","4892","53.9%","2.7pp"
"Bill the Pony","W","U","27222","3.49","7484","4.19","34314","55.3%","5643","56.9%","9145","58.8%","14788","58.1%","19316","53.0%","5.1pp"
"Boromir, Warden of the Tower","W","R","4865","1.90","2249","1.99","11496","57.3%","2062","61.3%","2871","60.4%","4933","60.8%","6459","54.4%","6.4pp"
"Dawn of a New Age","W","M","2403","1.86","1131","1.87","5368","54.0%","867","54.6%","1381","55.7%","2248","55.2%","3108","53.2%","2.1pp"
"Dúnedain Blade","W","C","130964","7.43","15835","10.67","27123","55.2%","4341","53.5%","6499","53.1%","10840","53.3%","16284","56.5%","-3.2pp"
"Eagles of the North","W","C","112017","5.34","18620","7.50","77717","55.0%","13595","53.6%","19552","56.4%","33147","55.3%","44436","54.7%","0.5pp"
"Eastfarthing Farmer","W","C","116107","5.85","15653","8.42","50494","54.4%","8514","55.0%","12610","57.3%","21124","56.4%","29252","52.9%","3.5pp"
"East-Mark Cavalier","W","C","119676","6.08","17027","8.62","60061","55.1%","10733","55.3%","14313","55.1%","25046","55.2%","34971","55.0%","0.1pp"
"Éowyn, Lady of Rohan","W","U","23275","3.04","5998","3.69","30135","55.0%","5266","56.2%","7490","56.8%","12756","56.5%","17284","53.7%","2.8pp"
"Errand-Rider of Gondor","W","C","89934","4.13","21176","5.32","107492","56.2%","18924","57.1%","27434","58.4%","46358","57.9%","60934","54.9%","3.0pp"
"Escape from Orthanc","W","C","134518","7.82","18210","10.96","26479","54.9%","4008","53.5%","6399","55.8%","10407","54.9%","16062","54.9%","0.0pp"
"Esquire of the King","W","C","127090","6.88","17088","9.78","44744","54.9%","7735","56.1%","10824","53.3%","18559","54.5%","26143","55.1%","-0.6pp"
"Faramir, Field Commander","W","U","19678","2.62","5992","3.06","30468","53.5%","5174","51.9%","8050","55.2%","13224","53.9%","17105","53.0%","0.9pp"
"Flowering of the White Tree","W","R","4325","1.75","2371","1.71","12146","55.8%","2073","59.7%","3121","58.6%","5194","59.0%","6944","53.3%","5.7pp"
"Fog on the Barrow-Downs","W","C","104300","5.08","12893","7.40","45945","52.9%","7558","49.6%","11441","54.4%","18999","52.5%","26866","53.2%","-0.7pp"
"Forge Anew","W","R","14761","5.54","1780","8.54","171","","27","","48","","75","","96","",""
"Frodo, Sauron's Bane","W","R","5369","2.19","2121","2.28","10015","56.0%","1803","64.2%","2588","56.6%","4391","59.7%","5582","53.1%","6.7pp"
"Gandalf the White","W","M","1840","1.51","1048","1.49","4807","52.9%","772","51.7%","1270","54.5%","2042","53.4%","2718","52.2%","1.3pp"
"Hobbit's Sting","W","C","102793","4.97","16874","6.81","71091","54.6%","11396","53.4%","17855","56.6%","29251","55.3%","41787","54.1%","1.2pp"
"Landroval, Horizon Witness","W","U","27428","3.59","5705","4.54","25655","54.2%","3943","52.7%","6589","57.0%","10532","55.4%","14951","53.1%","2.2pp"
"Lost to Legend","W","U","39867","5.39","7468","7.02","25648","54.7%","4178","52.6%","6733","56.8%","10911","55.2%","14752","54.3%","0.9pp"
"Nimble Hobbit","W","C","131998","7.55","15587","10.86","21445","52.3%","3775","50.7%","5313","53.4%","9088","52.3%","12344","52.3%","0.0pp"
"Now for Wrath, Now for Ruin!","W","C","131319","7.39","14044","10.96","17202","53.4%","2448","49.9%","4212","53.4%","6660","52.1%","10539","54.2%","-2.1pp"
"Protector of Gondor","W","C","111723","5.44","20402","7.30","88845","56.6%","14388","57.2%","22402","58.8%","36790","58.2%","51940","55.5%","2.7pp"
"Reprieve","W","U","32095","4.12","7801","5.14","33682","55.7%","5960","57.8%","8665","57.3%","14625","57.5%","19048","54.4%","3.1pp"
"Rosie Cotton of South Lane","W","U","21381","2.80","6529","3.25","33357","56.0%","5791","56.4%","8352","59.4%","14143","58.2%","18974","54.3%","3.9pp"
"Samwise the Stouthearted","W","U","20626","2.64","7269","3.08","37587","55.2%","6639","57.0%","9563","57.9%","16202","57.6%","21074","53.2%","4.3pp"
"Second Breakfast","W","C","133486","7.69","14783","11.26","14088","52.5%","2154","50.5%","3337","53.6%","5491","52.3%","8592","52.6%","-0.2pp"
"Shire Shirriff","W","U","25468","3.26","6921","3.95","33831","55.5%","5927","54.8%","8463","57.5%","14390","56.4%","19420","54.8%","1.6pp"
"Slip On the Ring","W","C","129651","7.12","14947","10.43","21985","52.1%","3491","50.1%","5577","53.7%","9068","52.3%","12898","51.9%","0.4pp"
"Soldier of the Grey Host","W","C","130047","7.08","13938","10.54","18231","52.2%","2893","51.9%","4521","54.1%","7414","53.3%","10792","51.3%","1.9pp"
"Stalwarts of Osgiliath","W","C","124942","6.55","15319","9.56","34721","54.2%","5353","53.2%","9290","57.1%","14643","55.7%","20085","53.2%","2.5pp"
"Tale of Tinúviel","W","U","36464","4.97","4926","6.96","12780","51.9%","1917","48.2%","3347","53.7%","5264","51.7%","7498","51.9%","-0.2pp"
"Took Reaper","W","C","120952","6.09","17353","8.60","62472","54.2%","11255","53.5%","15489","54.6%","26744","54.1%","35671","54.2%","-0.1pp"
"War of the Last Alliance","W","R","7144","2.85","1926","3.21","7504","56.1%","1214","59.7%","1888","59.7%","3102","59.7%","4392","53.5%","6.3pp"
"Westfold Rider","W","C","113806","5.48","18293","7.58","78627","55.5%","14141","55.6%","19102","55.3%","33243","55.4%","45301","55.4%","-0.0pp"
"You Cannot Pass!","W","U","43587","6.22","5189","9.29","7937","51.6%","1238","50.6%","2029","52.5%","3267","51.8%","4662","51.4%","0.4pp"
"Arwen's Gift","U","C","118707","6.08","18409","8.54","56395","53.0%","9210","51.1%","17625","57.1%","26835","55.1%","29731","51.3%","3.7pp"
"The Bath Song","U","U","32123","4.25","8580","5.07","37203","55.2%","6214","55.1%","11531","61.3%","17745","59.1%","19298","51.8%","7.3pp"
"Bewitching Leechcraft","U","C","125169","6.82","14203","10.08","25053","50.9%","4268","48.2%","7325","54.6%","11593","52.2%","13249","49.5%","2.7pp"
"Bill Ferny, Bree Swindler","U","U","43242","5.93","5944","8.62","13409","50.0%","2386","49.4%","3839","51.1%","6225","50.4%","7152","49.6%","0.8pp"
"Birthday Escape","U","C","102429","4.95","23297","6.31","108722","55.9%","19345","57.3%","35113","60.4%","54458","59.3%","54593","52.6%","6.7pp"
