"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Orcish Bowmasters","B","R","1985","1.47","1583","1.45","8981","62.3%","1577","73.9%","2297","69.3%","3874","71.2%","5074","55.5%","15.7pp"
"Andúril, Flame of the West","","M","754","1.06","740","1.06","4603","60.8%","795","71.3%","1266","70.3%","2061","70.7%","2535","52.7%","18.0pp"
"Horn of Gondor","","R","1811","1.33","1466","1.30","8647","61.0%","1600","69.0%","2159","68.6%","3759","68.7%","4888","55.1%","13.7pp"
"Witch-king of Angmar","B","M","851","1.21","728","1.20","4285","60.3%","749","70.1%","1178","65.8%","1927","67.5%","2337","53.6%","13.9pp"
"Arwen, Mortal Queen","WG","M","1141","1.75","595","1.61","2589","57.4%","466","68.7%","648","66.4%","1114","67.3%","1445","49.3%","18.1pp"
"Palantír of Orthanc","","M","940","1.44","643","1.41","3736","59.2%","685","71.8%","1047","61.1%","1732","65.4%","1995","53.8%","11.5pp"
"Faramir, Prince of Ithilien","WU","R","2611","2.18","1429","2.03","6662","56.3%","1119","65.6%","1949","65.0%","3068","65.2%","3530","48.2%","17.0pp"
"Éowyn, Fearless Knight","WR","R","2918","2.32","1434","2.30","6595","58.8%","1101","64.5%","1537","65.3%","2638","64.9%","3909","54.5%","10.5pp"
"Éomer of the Riddermark","R","U","12577","3.00","4453","3.43","24201","60.5%","3956","63.9%","5914","65.3%","9870","64.7%","14290","57.5%","7.2pp"
"Fear, Fire, Foes!","R","U","11321","2.71","5624","2.94","32006","60.4%","5562","63.6%","8412","65.5%","13974","64.7%","18149","57.0%","7.7pp"
"Nazgûl","B","U","9700","2.44","4744","2.66","26608","60.4%","4741","64.9%","7166","64.2%","11907","64.5%","14697","57.1%","7.4pp"
"Voracious Fell Beast","B","U","11485","2.76","5084","3.05","28422","60.2%","4527","59.8%","7555","66.0%","12082","63.6%","16266","57.7%","6.0pp"
"Grishnákh, Brash Instigator","R","U","12466","2.98","5038","3.31","27794","60.2%","4882","62.4%","6844","64.1%","11726","63.4%","15985","57.8%","5.6pp"
"Rangers of Ithilien","U","R","2454","1.87","1382","1.81","6845","56.5%","1169","60.9%","2091","64.6%","3260","63.3%","3561","50.5%","12.7pp"
"Claim the Precious","B","C","29196","2.61","13418","2.93","76723","59.6%","12831","60.5%","20818","64.9%","33649","63.2%","43256","56.8%","6.4pp"
"Rally at the Hornburg","R","C","56612","5.09","16212","6.17","85048","60.6%","15232","63.3%","21111","62.6%","36343","62.9%","48633","58.9%","4.0pp"
"Dunland Crebain","B","C","42122","3.50","15396","4.20","88751","60.0%","15811","62.4%","22914","63.1%","38725","62.8%","49821","57.8%","5.0pp"
"Radagast the Brown","G","M","1160","1.65","585","1.62","2452","57.1%","425","63.1%","696","62.6%","1121","62.8%","1335","52.3%","10.5pp"
"Gollum's Bite","B","U","11442","2.73","5220","3.06","29142","59.5%","5122","61.9%","7662","63.3%","12784","62.7%","16364","56.9%","5.8pp"
"Shadow Summoning","WB","U","18681","4.61","5217","5.32","20708","58.9%","3559","63.4%","5328","62.1%","8887","62.6%","11814","56.2%","6.4pp"
"Call of the Ring","B","R","2038","1.60","1481","1.57","8145","58.2%","1435","66.2%","2087","60.1%","3522","62.6%","4598","54.8%","7.8pp"
"The Torment of Gollum","B","C","62686","5.81","14782","7.33","64176","60.3%","10451","62.5%","17227","62.3%","27678","62.4%","36494","58.8%","3.6pp"
"Saruman's Trickery","U","U","17086","4.17","4580","4.96","20411","56.7%","3372","61.0%","6420","62.9%","9792","62.2%","10684","52.0%","10.3pp"
"Ranger's Firebrand","R","U","11973","2.87","4862","3.26","27093","59.5%","4648","60.4%","7022","63.4%","11670","62.2%","15464","57.4%","4.8pp"
"Gollum, Patient Plotter","B","U","11114","2.64","4934","2.96","27809","59.6%","5082","63.2%","7213","61.5%","12295","62.2%","15494","57.6%","4.6pp"
