"Name","Color","Rarity","# Picked","ATA","# OH","OH WR","# GIH","GIH WR","IWD"
"Elesh Norn, Grand Cenobite","W","M","2910","1.24","2752","64.5%","7086","67.5%","15.3pp"
"Sunfall","W","R","9950","1.35","9537","65.2%","23564","67.0%","14.0pp"
"Breach the Multiverse","B","R","11089","1.73","10100","59.6%","28709","65.0%","12.2pp"
"Chrome Host Seedshark","U","R","10757","1.42","11540","66.8%","28867","64.8%","11.2pp"
"Boon-Bringer Valkyrie","W","R","9516","1.31","9004","63.1%","21618","64.5%","10.8pp"
"Sheoldred","B","M","4606","1.19","4379","61.9%","11567","63.7%","11.0pp"
"Chandra, Hope's Beacon","R","M","4592","1.30","3986","61.5%","10102","63.7%","11.6pp"
"Zephyr Singer","U","R","11172","1.66","10970","64.8%","27597","63.6%","8.6pp"
"Glissa, Herald of Predation","BG","R","10207","1.44","9662","62.2%","24912","63.6%","11.5pp"
"Vorinclex","G","M","4465","1.32","4127","62.4%","10355","63.4%","11.3pp"
"Invasion of New Phyrexia","WU","M","5077","1.35","4772","61.2%","11917","63.3%","10.1pp"
"Hidetsugu and Kairi","UB","R","11340","2.02","9697","60.9%","26377","62.8%","9.3pp"
"Borborygmos and Fblthp","URG","M","5027","2.53","3698","61.1%","9964","62.6%","11.6pp"
"Etali, Primal Conqueror","R","R","9753","1.40","8351","60.0%","21799","62.4%","10.7pp"
"Marshal of Zhalfir","WU","U","36664","4.80","29078","64.2%","65777","62.1%","4.8pp"
"Archangel Elspeth","W","M","4385","1.18","3972","60.9%","9396","61.8%","8.6pp"
"Invasion of Amonkhet","UB","U","40533","3.95","35211","61.4%","92132","61.6%","7.7pp"
"Glistening Dawn","G","R","9718","1.75","8866","59.7%","22368","61.5%","8.8pp"
"Invasion of Innistrad","B","M","4873","1.37","4497","60.7%","11843","61.3%","8.7pp"
"Pile On","B","R","10023","1.51","9413","58.7%","24794","61.3%","8.4pp"
"Preening Champion","U","C","83859","3.38","87276","61.8%","211798","61.1%","5.1pp"
"Norn's Inquisitor","W","U","32382","3.00","31732","63.6%","70306","61.1%","5.7pp"
