"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Invasion of Ravnica","","M","902","1.38","617","1.38","3876","59.2%","632","55.7%","1028","60.8%","1660","58.9%","2152","59.2%","-0.3pp"
"Aerial Boost","W","C","50915","6.68","8910","8.51","37057","61.7%","5850","62.5%","7933","62.2%","13783","62.3%","23258","61.2%","1.1pp"
"Alabaster Host Intercessor","W","C","37862","4.26","5585","6.11","25855","58.3%","4372","56.4%","6096","59.1%","10468","58.0%","15346","58.3%","-0.4pp"
"Alabaster Host Sanctifier","W","C","45396","5.40","5176","7.84","21823","58.4%","3828","58.8%","4651","55.3%","8479","56.9%","13286","59.4%","-2.5pp"
"Angelic Intervention","W","C","45592","5.43","7622","7.29","36949","61.2%","5894","61.0%","8103","60.9%","13997","60.9%","22930","61.4%","-0.5pp"
"Archangel Elspeth","W","M","756","1.19","569","1.17","3060","60.0%","537","61.3%","708","67.1%","1245","64.6%","1813","56.6%","7.9pp"
"Attentive Skywarden","W","C","47197","5.99","3807","9.38","9391","56.8%","1597","55.2%","2074","55.1%","3671","55.1%","5701","57.8%","-2.7pp"
"Bola Slinger","W","C","46270","5.70","6437","7.87","28007","60.5%","4539","60.4%","6067","61.0%","10606","60.8%","17368","60.3%","0.4pp"
"Boon-Bringer Valkyrie","W","R","1660","1.33","1255","1.29","7431","62.4%","1269","66.0%","1716","70.4%","2985","68.5%","4455","58.4%","10.1pp"
"Cut Short","W","C","41054","4.81","4452","7.36","17597","59.3%","2795","57.9%","4161","60.4%","6956","59.4%","10631","59.2%","0.2pp"
"Dusk Legion Duelist","W","R","2571","2.22","813","2.34","4348","60.1%","802","62.1%","896","57.7%","1698","59.8%","2635","60.2%","-0.4pp"
"Elesh Norn","W","M","765","1.18","554","1.18","3071","59.4%","525","61.5%","716","63.8%","1241","62.9%","1812","56.8%","6.0pp"
"Elspeth's Smite","W","U","19199","3.91","2407","5.57","10901","59.6%","1854","59.9%","2476","60.5%","4330","60.2%","6555","59.1%","1.1pp"
"Enduring Bondwarden","W","C","49772","6.70","5344","9.77","14892","59.0%","2621","59.5%","3032","56.0%","5653","57.6%","9176","59.8%","-2.2pp"
"Golden-Scale Aeronaut","W","C","51551","7.07","5227","10.46","10902","58.6%","1627","57.8%","2273","57.1%","3900","57.4%","6989","59.2%","-1.8pp"
"Guardian of Ghirapur","W","R","2291","1.77","1132","1.80","6284","60.6%","1107","62.8%","1357","61.4%","2464","62.0%","3809","59.4%","2.6pp"
"Heliod, the Radiant Dawn","W","R","3101","2.55","510","3.15","1955","55.3%","329","52.3%","413","53.5%","742","53.0%","1184","56.7%","-3.7pp"
"Infected Defector","W","C","52403","7.19","3764","11.42","3399","57.6%","514","58.9%","771","55.8%","1285","57.0%","2116","57.8%","-0.8pp"
"Inspired Charge","W","C","54979","8.60","4958","12.55","2259","59.1%","323","59.8%","485","56.1%","808","57.5%","1451","60.0%","-2.5pp"
